video_rank,video_id,country_id,trending_id,title,channel_title,category_id,publish_time,views,likes,dislikes,comment_count
1,1J76wN0TPI4,CA,18.31.05,Sanju | Official Trailer | Ranbir Kapoor | Rajkumar Hirani | Releasing on 29th June,FoxStarHindi,24,2018-05-30T07:51:32.000Z,21739537,549875,16991,41068
2,xTlNMmZKwpA,CA,18.31.05,"Cardi B, Bad Bunny & J Balvin - I Like It [Official Music Video]",Cardi B,10,2018-05-29T14:05:10.000Z,20723565,1018786,48090,68790
3,VmwOMtkDxtk,CA,18.31.05,Pusha T The Story Of Adidon (Drake Diss) (WSHH Exclusive - Official Audio),WORLDSTARHIPHOP,10,2018-05-30T01:00:12.000Z,8654006,216565,19041,57438
4,wS4ESheuHDY,CA,18.31.05,Drake - I'm Upset,OVO Sound,10,2018-05-27T01:27:32.000Z,7766948,200572,9632,19827
5,mMCEvr3VWqQ,CA,18.31.05,Kaala (Tamil) - Official Trailer | Rajinikanth | Pa Ranjith | Dhanush | Santhosh Narayanan,Wunderbar Studios,1,2018-05-28T13:45:54.000Z,7147686,193166,30974,12825
6,9jRtpMKLsts,CA,18.31.05,"Pokamon: Let's Go, Pikachu! and Pokamon: Let's Go, Eevee! Trailer",The Official Pokémon YouTube channel,20,2018-05-30T01:22:17.000Z,5616854,190079,20368,50334
7,WDiK14qI3pQ,CA,18.31.05,Restaurant Sutiyapa | Ashish Chanchlani,ashish chanchlani vines,23,2018-05-30T13:32:59.000Z,4613979,337318,15396,27261
8,jD83QaWy8LI,CA,18.31.05,Film Theory: Willy Wonka and the Golden Ticket SCAM! (Willy Wonka and the Chocolate Factory),The Film Theorists,1,2018-05-27T19:22:30.000Z,4309706,117899,9780,20011
9,VhI2EpAIcm4,CA,18.31.05,$10 Cheesesteak Vs. $120 Cheesesteak,BuzzFeedVideo,22,2018-05-27T15:00:50.000Z,4162077,89469,7521,15610
10,ntWSnDV0MYs,CA,18.31.05,MV AOA _ Bingle Bangle,1theK (원더케이),10,2018-05-28T09:00:03.000Z,4150448,186262,9728,15989
11,PhLGj3KA7mw,CA,18.31.05,Argentina vs Haiti 4-0 - All Goals & Extended Highlights - Friendly 29/05/2018 HD,GOLAZO TV,17,2018-05-30T01:29:58.000Z,3836790,28153,1908,3269
12,1nX0kF2UwDc,CA,18.31.05,BadComedian,BadComedian,23,2018-05-30T18:20:48.000Z,3125598,334685,7777,34556
