video_rank,video_id,country_id,trending_date,title,channel_title,category_id,publish_time,views,likes,dislikes,comment_count
1,1J76wN0TPI4,FR,18.31.05,Sanju | Official Trailer | Ranbir Kapoor | Rajkumar Hirani | Releasing on 29th June,FoxStarHindi,24,2018-05-30T07:51:32.000Z,21739537,549875,16991,41068
2,xTlNMmZKwpA,FR,18.31.05,"Cardi B, Bad Bunny & J Balvin - I Like It [Official Music Video]",Cardi B,10,2018-05-29T14:05:10.000Z,20723565,1018786,48090,68790
3,VmwOMtkDxtk,FR,18.31.05,Pusha T The Story Of Adidon (Drake Diss) (WSHH Exclusive - Official Audio),WORLDSTARHIPHOP,10,2018-05-30T01:00:12.000Z,8654006,216565,19041,57438
4,9jRtpMKLsts,FR,18.31.05,"Pokémon: Let's Go, Pikachu! and Pokémon: Let's Go, Eevee! Trailer",The Official Pokémon YouTube channel,20,2018-05-30T01:22:17.000Z,5616854,190079,20368,50334
5,aJOTlE1K90k,FR,18.31.05,Maroon 5 - Girls Like You ft. Cardi B,Maroon5VEVO,10,2018-05-31T04:00:00.000Z,3057987,406730,4521,31301
6,1XokkMj-tYI,FR,18.31.05,Enfant sauvé d'une chute: l’intégralité du témoignage de Mamoudou Gassama sur le plateau de BFMTV,BFMTV,25,2018-05-28T06:03:26.000Z,2812031,30350,2205,7743
7,FnaqC2ZH3Z0,FR,18.31.05,LAUGHING AT: KARIUS,KSI,10,2018-05-30T19:36:01.000Z,2744134,159327,38995,19833
8,ogHVbf3dEyk,FR,18.31.05,"Mamoudou Gassama, le sauveur de l'enfant suspendu à un balcon",Brut,25,2018-05-28T12:26:03.000Z,1776099,18005,1306,3627
9,z8tI8Cw1SeE,FR,18.31.05,Molière de l'humour : Blanche Gardin,France Télévisions,24,2018-05-28T22:15:42.000Z,1465444,16873,956,1051
10,KHyLRPII8ow,FR,18.31.05,Sen Anlat Karadeniz 19. Bölüm,Sen Anlat Karadeniz,24,2018-05-30T20:59:06.000Z,1356006,21628,1165,3281
11,gR0XvajmaMY,FR,18.31.05,Prepare to be SPELLBOUND by the incredible Marc Spelmann! | Semi-Finals | BGT 2018,Britain's Got Talent,24,2018-05-30T19:15:27.000Z,1326706,22057,1236,0
12,Bpf_SCjgpgs,FR,18.31.05,Diriliş Ertuğrul 120.Bölüm,TRT Televizyon,1,2018-05-30T21:00:46.000Z,1287238,9431,1214,0
13,vHtc3cP0XAg,FR,18.31.05,DELLY-DELLO.MP3,PRIME,23,2018-05-28T01:48:31.000Z,1276566,69145,29055,22722
14,RMnI_zRbjYA,FR,18.31.05,EVERLEIGH TAUGHT ME HER SOLO!,Maddie Ziegler,24,2018-05-30T21:33:33.000Z,1193974,77227,363,3471
15,w2D-ZOloy4o,FR,18.31.05,JE ME BATS CONTRE UN PRO EN UFC !!,Tibo InShape,17,2018-05-29T16:00:26.000Z,1168514,58674,1332,3673
16,2SJ0hgdciNE,FR,18.31.05,Marshmello x Juicy J - You Can Cry (Ft. James Arthur) (Official Video),Marshmello,10,2018-05-30T14:00:00.000Z,1113627,111807,2201,8109
17,L_YM-LQNBPI,FR,18.31.05,DELLY-DELLO.mp4,D4LYM0TI0N™,23,2018-05-30T05:32:00.000Z,1010114,71304,14844,19579
18,uHVy2s5B3IY,FR,18.31.05,Awalem Khafeya Series - Ep 14 | ,Magnum Productions,24,2018-05-30T18:46:01.000Z,908705,5245,389,988
