video_rank,video_id,country_id,trending_date,title,channel_title,category_id,publish_time,views,likes,dislikes,comment_count
1,VYOjWnS4cMY,GB,18.31.05,Childish Gambino - This Is America (Official Video),ChildishGambinoVEVO,10,2018-05-06T04:00:07.000Z,217750076,4934188,335462,509799
2,Ck4xHocysLw,GB,18.31.05,Ozuna - Única (Video Oficial) 🐻 A U R A,Ozuna,10,2018-04-26T17:52:13.000Z,134764278,817697,43493,26832
3,7C2z4GqqS5E,GB,18.31.05,BTS (방탄소년단) 'FAKE LOVE' Official MV,ibighit,10,2018-05-18T09:00:02.000Z,121219886,5595203,205565,1225326
4,DkeiKbqa02g,GB,18.31.05,"Calvin Harris, Dua Lipa - One Kiss (Official Video)",CalvinHarrisVEVO,10,2018-05-02T23:01:00.000Z,93994966,972590,44475,29863
5,iWZmdoY1aTE,GB,18.31.05,Ed Sheeran - Happier (Official Video),Ed Sheeran,10,2018-04-27T08:40:14.000Z,80490076,1487708,37669,70554
6,vjI4Alon-3Q,GB,18.31.05,Maluma - Marinero (Official Video),MalumaVEVO,10,2018-05-04T10:00:33.000Z,63582346,868654,63292,50463
7,Wpm07-BGJnE,GB,18.31.05,Nicki Minaj - Chun-Li,NickiMinajAtVEVO,10,2018-05-04T16:00:08.000Z,47098471,929171,98252,99441
8,oWw1BcFhk-k,GB,18.31.05,Liam Payne & J Balvin - Familiar (Official Video),LiamPayneVEVO,10,2018-05-04T11:00:07.000Z,45973929,569934,19113,22045
9,6YNZlXfW6Ho,GB,18.31.05,Ella Mai - Boo'd Up,EllaMaiVEVO,10,2018-04-26T17:00:01.000Z,45841059,526533,23070,19181
10,tsp7IOr7Q9A,GB,18.31.05,BHAD BHABIE feat. Lil Yachty - Gucci Flip Flops (Official Music Video) | Danielle Bregoli,Bhad Bhabie,10,2018-05-01T16:00:11.000Z,44553695,824821,113157,81064
11,1Aoc-cd9eYs,GB,18.31.05,Cobra Kai Ep 2 - Strike First - The Karate Kid Saga Continues,Cobra Kai,24,2018-05-02T16:02:35.000Z,44553695,824821,113157,81064
12,31OMf1H5Rk0,GB,18.31.05,"Matt Hunter, Lele Pons - Dicen",MattHunterVEVO,10,2018-05-04T04:00:02.000Z,33948970,697745,33494,34965
13,CX11yw6YL1w,GB,18.31.05,Céline Dion - Ashes (from the Deadpool 2 Motion Picture Soundtrack),CelineDionVEVO,10,2018-05-03T12:45:00.000Z,28032913,579331,12910,34799
14,tcaw6lzYt1Q,GB,18.31.05,Lil Skies - Lust [Official Video] (Dir. by @NicholasJandora),Lil Skies,10,2018-05-02T22:00:08.000Z,25338620,388668,11604,20016
15,xTlNMmZKwpA,GB,18.31.05,"Cardi B, Bad Bunny & J Balvin - I Like It [Official Music Video]",Cardi B,10,2018-05-29T14:05:10.000Z,20723565,1018786,48090,68790
16,UUkn-enk2RU,GB,18.31.05,Marvel Studios' Ant-Man and The Wasp - Official Trailer,Marvel Entertainment,24,2018-05-01T14:02:27.000Z,20299775,450404,9421,32456
17,l884wKofd54,GB,18.31.05,Enrique Iglesias - MOVE TO MIAMI (Official Video) ft. Pitbull,EnriqueIglesiasVEVO,10,2018-05-09T07:00:01.000Z,20064677,233697,11226,9273
18,Il-an3K9pjg,GB,18.31.05,Anne-Marie - 2002 [Official Video],Anne-Marie,10,2018-05-08T11:05:08.000Z,19853712,327912,6782,16737
19,NZ74oFctP_g,GB,18.31.05,Dogs Tested to See Whether They’d Defend Owner During Home Invasion,Inside Edition,25,2018-04-26T21:23:37.000Z,18859935,258367,10981,43078
20,P3iLo_JI9oY,GB,18.31.05,"Travis Scott - Watch (Audio) ft. Lil Uzi Vert, Kanye West",TravisScottVEVO,10,2018-05-04T06:23:05.000Z,17524516,263953,11886,15560
21,8h--kFui1JA,GB,18.31.05,Sam Smith - Pray (Official Video) ft. Logic,SamSmithWorldVEVO,10,2018-05-09T17:00:00.000Z,17424422,340361,8724,12041
22,mdWcaWBxxcY,GB,18.31.05,"Rita Ora - Girls ft. Cardi B, Bebe Rexha & Charli XCX (Official Lyric Video)",Rita Ora,24,2018-05-11T09:23:16.000Z,17327325,320760,34132,28151
23,NukmFF__G-g,GB,18.31.05,Mason Ramsey - Famous [Lyric Video],Mason Ramsey,10,2018-04-27T04:00:03.000Z,16679027,537810,33008,54556
24,tjA7nAHOAww,GB,18.31.05,"LSD - Audio (Official Video) ft. Sia, Diplo, Labrinth",SiaVEVO,10,2018-05-10T12:00:03.000Z,16294419,405125,6190,13320
25,ErKz5mD61q4,GB,18.31.05,"Nacho, Wisin, Noriel - No Te Vas (Remix)",NachoVEVO,10,2018-05-07T04:00:00.000Z,16208115,179182,5644,4762
26,XiHiW4N7-bo,GB,18.31.05,Mission: Impossible - Fallout (2018) - Official Trailer - Paramount Pictures,Paramount Pictures,1,2018-05-16T06:59:59.000Z,16178195,170269,5343,12663
27,dARAN1z2KqY,GB,18.31.05,"Royce da 5'9 - Caterpillar ft. Eminem, King Green",RoyceDa59VEVO,10,2018-05-03T15:59:55.000Z,15551274,325363,10086,33511
