video_rank,video_id,country_id,trending_date,title,channel_title,category_id,publish_time,views,likes,dislikes,comment_count
1,FlsCjmMhFmw,MX,17.10.12,YouTube Rewind: The Shape of 2017 | #YouTubeRewind,YouTube Spotlight,24,2017-12-06T17:58:51.000Z,100912384,2656698,1353667,682890
2,FlsCjmMhFmw,MX,17.09.12,YouTube Rewind: The Shape of 2017 | #YouTubeRewind,YouTube Spotlight,24,2017-12-06T17:58:51.000Z,75969469,2251864,1127834,827784
3,6ZfuNTqbHE8,MX,17.03.12,Marvel Studios' Avengers: Infinity War Official Trailer,Marvel Entertainment,24,2017-11-29T13:26:24.000Z,74789251,2444976,46173,330715
4,6ZfuNTqbHE8,MX,17.02.12,Marvel Studios' Avengers: Infinity War Official Trailer,Marvel Entertainment,24,2017-11-29T13:26:24.000Z,66637636,2331375,41155,316180
5,7C2z4GqqS5E,MX,18.20.05,BTS (방탄소년단) 'FAKE LOVE' Official MV,ibighit,10,2018-05-18T09:00:02.000Z,62796390,4470923,119053,905925
6,7C2z4GqqS5E,MX,18.20.05,BTS (방탄소년단) 'FAKE LOVE' Official MV,ibighit,10,2018-05-18T09:00:02.000Z,62796390,4470923,119053,905925
7,6ZfuNTqbHE8,MX,17.01.12,Marvel Studios' Avengers: Infinity War Official Trailer,Marvel Entertainment,24,2017-11-29T13:26:24.000Z,56370607,2157755,34079,303170
8,FlsCjmMhFmw,MX,17.08.12,YouTube Rewind: The Shape of 2017 | #YouTubeRewind,YouTube Spotlight,24,2017-12-06T17:58:51.000Z,52611730,1891855,884978,702795
9,_I_D_8Z4sJE,MX,18.05.03,Nicky Jam x J. Balvin - X (EQUIS) | Video Oficial | Prod. Afro Bros & Jeon,NickyJamTV,10,2018-03-02T05:00:19.000Z,50896717,550478,20865,23521
10,#NAME?,MX,18.14.03,Maluma - El Préstamo (Official Video),MalumaVEVO,10,2018-03-09T11:00:01.000Z,44726356,575878,48583,28152
12,_I_D_8Z4sJE,MX,18.04.03,Nicky Jam x J. Balvin - X (EQUIS) | Video Oficial | Prod. Afro Bros & Jeon,NickyJamTV,10,2018-03-02T05:00:19.000Z,40567774,448374,16682,19908
13,#NAME?,MX,18.13.03,Maluma - El Préstamo (Official Video),MalumaVEVO,10,2018-03-09T11:00:01.000Z,39575633,535990,44422,26621
14,7C2z4GqqS5E,MX,18.19.05,BTS (방탄소년단) 'FAKE LOVE' Official MV,ibighit,10,2018-05-18T09:00:02.000Z,39349928,3880211,72709,692356
15,u9Mv98Gr5pY,MX,18.26.04,VENOM - Official Trailer (HD),Sony Pictures Entertainment,24,2018-04-24T03:45:03.000Z,39128403,1077733,35764,119671
16,TyHvyGVs42U,MX,17.20.11,"Luis Fonsi, Demi Lovato - Échame La Culpa",LuisFonsiVEVO,10,2017-11-17T05:00:01.000Z,38647842,1600413,68558,91409
17,6ZfuNTqbHE8,MX,17.30.11,Marvel Studios' Avengers: Infinity War Official Trailer,Marvel Entertainment,24,2017-11-29T13:26:24.000Z,37736281,1735975,21975,241247
18,QwievZ1Tx-8,MX,18.19.03,Marvel Studios' Avengers: Infinity War - Official Trailer,Marvel Entertainment,24,2018-03-16T13:02:41.000Z,36112519,1355014,22416,170807
20,J6-8DQALGt4,MX,18.06.02,Alexa Loses Her Voice – Amazon Super Bowl LII Commercial,amazon,24,2018-01-31T13:59:16.000Z,34448035,100710,2822,6986
21,kLpH1nSLJSs,MX,18.18.02,Bad Bunny - Amorfoda | Video Oficial,Bad Bunny,10,2018-02-15T00:00:03.000Z,32880238,1497630,49372,90246
22,xTlNMmZKwpA,MX,18.02.06,"Cardi B, Bad Bunny & J Balvin - I Like It [Official Music Video]",Cardi B,10,2018-05-29T14:05:10.000Z,32523416,1219791,61459,76612
23,#NAME?,MX,18.12.03,Maluma - El Préstamo (Official Video),MalumaVEVO,10,2018-03-09T11:00:01.000Z,31870855,488618,39397,24832
24,LsoLEjrDogU,MX,18.07.01,Bruno Mars - Finesse (Remix) [Feat. Cardi B] [Official Video],Bruno Mars,10,2018-01-04T04:49:43.000Z,31680160,1510636,49497,109426
25,VYOjWnS4cMY,MX,18.08.05,Childish Gambino - This Is America (Official Video),ChildishGambinoVEVO,10,2018-05-06T04:00:07.000Z,31648454,1405409,51550,149478
26,_I_D_8Z4sJE,MX,18.03.03,Nicky Jam x J. Balvin - X (EQUIS) | Video Oficial,NickyJamTV,10,2018-03-02T05:00:19.000Z,30686233,304517,10540,13903
27,QwievZ1Tx-8,MX,18.18.03,Marvel Studios' Avengers: Infinity War - Official Trailer,Marvel Entertainment,24,2018-03-16T13:02:41.000Z,30180849,1242248,16903,158047
28,TyHvyGVs42U,MX,17.19.11,"Luis Fonsi, Demi Lovato - Échame La Culpa",LuisFonsiVEVO,10,2017-11-17T05:00:01.000Z,29943556,1388770,54753,79828
29,dfnCAmr569k,MX,18.15.01,"Taylor Swift - End Game ft. Ed Sheeran, Future",TaylorSwiftVEVO,10,2018-01-12T05:00:01.000Z,29743367,1574088,84551,135825
