video_rank,video_id,country_id,trending_date,title,channel_title,category_id,publish_time,views,likes,dislikes,comment_count
1,xTlNMmZKwpA,US,18.31.05,"Cardi B, Bad Bunny & J Balvin - I Like It [Official Music Video]",Cardi B,10,2018-05-29T14:05:10.000Z,20723565,1018785,48090,68790
2,nQySbNGu4g0,US,18.31.05,[CHOREOGRAPHY] BTS (방탄소년단) 'FAKE LOVE' Dance Practice,BANGTANTV,10,2018-05-27T11:00:03.000Z,7683253,1042562,3664,65997
3,9jRtpMKLsts,US,18.31.05,"Pokémon: Let's Go, Pikachu! and Pokémon: Let's Go, Eevee! Trailer",The Official Pokémon YouTube channel,20,2018-05-30T01:22:17.000Z,5616854,190079,20368,50334
4,0URpDxIjZrQ,US,18.31.05,Christopher Robin Official Trailer,Disney Movie Trailers,1,2018-05-25T19:00:02.000Z,4630864,130543,3587,14834
5,jD83QaWy8LI,US,18.31.05,Film Theory: Willy Wonka and the Golden Ticket SCAM! (Willy Wonka and the Chocolate Factory),The Film Theorists,1,2018-05-27T19:22:30.000Z,4309706,117899,9780,20011
6,VhI2EpAIcm4,US,18.31.05,$10 Cheesesteak Vs. $120 Cheesesteak,BuzzFeedVideo,22,2018-05-27T15:00:50.000Z,4162077,89469,7521,15610
7,XbxRqlHtKUE,US,18.31.05,Catching a SHARK by HAND!,Brave Wilderness,15,2018-05-25T11:00:03.000Z,3369666,59153,1594,7005
8,eZSAIm_pzv4,US,18.31.05,Cleveland Cavaliers vs Boston Celtics Full Game Highlights / Game 6 / 2018 NBA Playoffs,MLG Highlights,17,2018-05-26T03:08:18.000Z,3353266,19379,1244,4126
9,hQW_9ws8OhA,US,18.31.05,10 of the Most GIANT Products that Actually Work!,Matthias,23,2018-05-25T16:50:01.000Z,3141443,65699,5268,21294
10,aJOTlE1K90k,US,18.31.05,Maroon 5 - Girls Like You ft. Cardi B,Maroon5VEVO,10,2018-05-31T04:00:00.000Z,3057987,406604,4520,31301
11,Tn8hOPeAnIM,US,18.31.05,Erika Costell - Chitty Bang ft. Jake Paul (Official Music Video),Erika Costell,22,2018-05-29T21:00:01.000Z,2949068,128992,60701,31354
12,jxWJLs7_doc,US,18.31.05,SUNNY - WAVE ft. Lil Jamez (Official Music Video),Jake Paul,22,2018-05-26T00:16:30.000Z,2815108,84806,61515,27151
13,E4c7EE8_IX0,US,18.31.05,Weezer - Africa,weezer,10,2018-05-29T12:00:11.000Z,2435309,70288,2916,5924
14,3shrder58iU,US,18.31.05,"$150 Bed Vs. $159,000 Bed",BuzzFeedBlue,22,2018-05-27T15:00:19.000Z,2414681,43340,3055,3969
15,m9sR3Z0vVOc,US,18.31.05,The Smallest House In The World,Daily Dose Of Internet,24,2018-05-27T18:18:44.000Z,2297095,58680,2473,8174
16,YpUDblEURdY,US,18.31.05,We Tried To Make The Most Intimidating Pasta Dish (Timpano),Tasty,26,2018-05-26T15:00:09.000Z,2217132,55923,2308,3387
17,12m1rG0Tj7U,US,18.31.05,Jimmy Kimmel on Roseanne Cancellation,Jimmy Kimmel Live,23,2018-05-30T02:40:54.000Z,2190835,19535,5243,7728
18,sV7eDd1d7LI,US,18.31.05,Cooking birthday presents for my wife!,JunsKitchen,26,2018-05-28T10:00:34.000Z,1819351,166932,1033,12291
19,tgMxQ4qCANg,US,18.31.05,YOUTUBERS REACT TO THIS IS AMERICA MEMES,FBE,24,2018-05-27T21:00:04.000Z,1800973,41236,7179,13824
20,ZAD3JJvMWjA,US,18.31.05,The Kissing Booth Cast Kisses A Hairless Cat & Other Weird Stuff | Kiss & Tell | Netflix,Netflix,24,2018-05-28T15:00:09.000Z,1756367,60289,652,1155
21,1MGNw-Y2QPk,US,18.31.05,We Should Talk About What James Harrison Did...,Philip DeFranco,25,2018-05-25T19:00:01.000Z,1723598,141985,3217,10745
22,X9Qh8vsSE-c,US,18.31.05,"I Filled My Swimming Pool with 10,000 Water Balloons!",Guava Juice,24,2018-05-27T16:45:02.000Z,1683115,76414,5182,11535
23,ys6KVWA4okw,US,18.31.05,Will It Slip-N-Slide? (EXPERIMENT),Good Mythical Morning,24,2018-05-28T10:00:12.000Z,1635751,45977,2588,6749
24,CFa-pa0-VqI,US,18.31.05,Kim Kardashian Princess Jasmine Transformation,Kandee Johnson,26,2018-05-28T22:00:00.000Z,1603765,55499,4023,5402
25,Dan2YMDCpms,US,18.31.05,Blind Girl Describes My Face to a Police Sketch Artist!,Gabbie Hanna,26,2018-05-30T21:00:02.000Z,1550845,139013,916,10019
26,9Rr9u6QGgVc,US,18.31.05,STRANGERS DO MY MAKEUP IN AUSTRALIA,James Charles,24,2018-05-29T21:00:31.000Z,1548781,128639,2164,15858
27,Wzq4qbNRFrw,US,18.31.05,HIGH SCHOOL IN 2008 VS 2018,Smosh,23,2018-05-30T16:00:05.000Z,1372576,57332,3007,4404
28,IpN_wAlYZSs,US,18.31.05,Honest Trailers - Every Christopher Nolan Movie,Screen Junkies,1,2018-05-29T17:00:00.000Z,1361565,48414,937,5129
29,ZKZwrlNHMkk,US,18.31.05,TRY NOT TO LAUGH CHALLENGE!! - KNOCK KNOCK DAD JOKES EDITION,Eh Bee Family,22,2018-05-26T14:00:06.000Z,1312128,23511,5262,4894
30,2ybeU5JUoK4,US,18.31.05,Real Madrid vs. Liverpool | 2017-18 UEFA Champions League Final Highlights,FOX Soccer,17,2018-05-26T22:59:38.000Z,1271760,8530,1045,2399
31,zJ9kMg08Yds,US,18.31.05,Women Who Never Went To Prom Choose Prom Dresses,As/Is,22,2018-05-26T15:00:16.000Z,1221113,23237,474,1282
32,EJjh19zO1lk,US,18.31.05,Zurcaroh: Golden Buzzer Worthy Aerial Dance Group Impresses Tyra Banks - America's Got Talent 2018,America's Got Talent,24,2018-05-30T01:59:01.000Z,1102513,22878,481,2143
